Date,Actual_Returns,ARIMA_Forecast,GARCH_Volatility_Forecast
2025-03-11,-5.674564000912597e-05,0.001357654685750776,0.018065917759309227
2025-03-12,-0.0076456565030087,-0.0008106580353172477,0.018046795544781755
2025-03-13,-0.0058329807133926,-0.0017593298591175028,0.018027809246680876
2025-03-14,0.0211966708724313,0.0009528433962644701,0.018008958019663613
2025-03-17,0.0077458261701028,0.0021721472717331726,0.017990241022199635
2025-03-18,0.0246422011283773,-0.001084574936274808,0.01797165741656933
2025-03-19,0.0012356349151965,-0.0012974514567178192,0.017953206368861697
2025-03-20,-0.0222513534840506,0.0008230042621233993,0.017934887048972135
2025-03-21,-0.021892222433502,0.0018528818774942526,0.01791669863060009
2025-03-24,0.0091111181281899,-6.082203121087096e-05,0.01789864029124653
2025-03-25,-0.0234803340325092,-0.0021028342570244014,0.01788071121221132
